,area,balconynum,balconysize,category,community,floor,gardennum,gardensize,id,listprice,name,onboarddate,roominfo,size,totalfloor,unitprice,totalfloornum,cname,builtyear,additionalfloor,hasservice,isinnerring,isoldcity,isfamousarea,garage,recognizedsize,isvilla,istopfloor,areaprice,communityprice,houseprice,bottomunitprice,bottomprice
83,桃花坞,2,24.34,普通住宅,东百花巷,低,0,0.0,107102609690,390.0,出脚方便 闹中取静  自住精装， 通风好 带独立车库。_苏州姑苏桃花坞东百花巷二手房(苏州链家),2020-05-31,4室2厅,120.0, (共3层),32500,3,,2000.0,0.0,1.0,1.0,1.0,1.0,0.0,120.0,0.0,0.0,23000,0.0,2717.0,25717.0,308.604
100,南门,3,32.059999999999995,普通住宅,盘溪新村上沙苑,高,0,0.0,107102568141,328.0,盘溪新村上沙苑，中间位置，品质房源。_苏州姑苏南门盘溪新村上沙苑二手房(苏州链家),2020-05-22,4室2厅,151.74, (共4层),21616,4,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,151.0,0.0,0.0,21000,0.0,1603.0,22603.0,341.3053
187,南门,2,24.58,普通住宅,南环一村,低,0,0.0,107102452678,299.8,南环一村 4室2厅 299.8万_苏州姑苏南门南环一村二手房(苏州链家),2020-04-27,4室2厅,151.36, (共3层),19808,3,,2000.0,0.0,1.0,1.0,1.0,0.0,0.0,151.0,0.0,0.0,21000,0.0,2729.0,23729.0,358.3079
206,十全街,1,20.92,普通住宅,南石皮弄,低,0,0.0,107102484587,410.0,南石皮弄 5室2厅 410万_苏州姑苏十全街南石皮弄二手房(苏州链家),2020-05-05,5室2厅,160.0, (共2层),25625,2,,2000.0,0.0,1.0,1.0,1.0,1.0,0.0,160.0,1.0,0.0,23000,0.0,7046.0,30046.0,480.736
604,桃花坞,0,0.0,别墅,桃坞小筑,低,1,39.17,107101328330,940.0,桃花坞里，清水毛坯，有钥匙，诚意卖_苏州姑苏桃花坞桃坞小筑二手房(苏州链家),2019-05-17,4室2厅,324.0, (共3层),29013,3,,2000.0,0.0,1.0,1.0,1.0,1.0,0.0,324.0,1.0,0.0,23000,0.0,7958.5,30958.5,905.3604252
778,平江路,1,22.7,普通住宅,华阳花苑,高,0,0.0,107101517032,595.0,此房满五，户型好，视野宽阔，采光充足，配套设施齐全,2019-07-09,3室2厅,268.84, (共4层),22133,4,华阳花苑,2001.0,0.0,1.0,1.0,1.0,1.0,1.0,166.0,0.0,1.0,23000,100.0,8266.751227495908,31366.751227495908,520.6709605351882
